iter	Passed	Remaining
0	107	107098
1	140	70343
2	175	58247
3	209	52252
4	243	48528
5	277	46000
6	313	44477
7	351	43561
8	385	42465
9	421	41701
10	455	40980
11	490	40343
12	529	40219
13	564	39744
14	598	39309
15	632	38884
16	666	38524
17	701	38280
18	737	38093
19	771	37826
20	806	37583
21	841	37402
22	876	37225
23	913	37163
24	949	37013
25	986	36937
26	1026	36999
27	1066	37027
28	1107	37091
29	1147	37093
30	1185	37069
31	1225	37066
32	1263	37022
33	1299	36910
34	1333	36778
35	1372	36761
36	1413	36794
37	1451	36748
38	1489	36698
39	1527	36666
40	1569	36705
41	1607	36665
42	1643	36580
43	1679	36499
44	1719	36489
45	1760	36512
46	1797	36439
47	1835	36397
48	1873	36355
49	1913	36361
50	1954	36366
51	1995	36383
52	2033	36339
53	2071	36297
54	2112	36293
55	2153	36307
56	2195	36328
57	2236	36331
58	2278	36341
59	2315	36280
60	2352	36212
61	2387	36123
62	2421	36016
63	2455	35913
64	2490	35822
65	2528	35777
66	2567	35753
67	2608	35750
68	2649	35744
69	2691	35757
70	2729	35709
71	2766	35662
72	2803	35604
73	2838	35522
74	2874	35456
75	2910	35380
76	2947	35332
77	2982	35254
78	3020	35217
79	3058	35170
80	3094	35110
81	3137	35119
82	3178	35114
83	3218	35092
84	3259	35088
85	3301	35089
86	3340	35058
87	3379	35021
88	3416	34974
89	3453	34922
90	3489	34859
91	3530	34847
92	3567	34792
93	3601	34712
94	3635	34633
95	3670	34560
96	3704	34490
97	3741	34434
98	3776	34370
99	3813	34324
100	3853	34296
101	3893	34274
102	3932	34249
103	3972	34226
104	4012	34198
105	4050	34159
106	4086	34107
107	4127	34092
108	4168	34078
109	4204	34016
110	4241	33971
111	4278	33922
112	4319	33904
113	4356	33854
114	4390	33789
115	4426	33733
116	4462	33677
117	4499	33634
118	4535	33576
119	4570	33519
120	4606	33461
121	4641	33405
122	4678	33356
123	4714	33306
124	4752	33267
125	4787	33210
126	4823	33159
127	4859	33106
128	4895	33057
129	4933	33018
130	4970	32968
131	5009	32938
132	5046	32897
133	5083	32850
134	5123	32826
135	5159	32776
136	5195	32730
137	5231	32680
138	5268	32631
139	5304	32587
140	5340	32537
141	5375	32477
142	5412	32439
143	5449	32393
144	5489	32369
145	5525	32323
146	5562	32276
147	5598	32229
148	5638	32205
149	5679	32181
150	5717	32149
151	5757	32121
152	5799	32104
153	5841	32087
154	5882	32068
155	5921	32036
156	5962	32013
157	6004	31999
158	6044	31971
159	6083	31940
160	6121	31901
161	6160	31869
162	6200	31838
163	6240	31809
164	6279	31777
165	6317	31739
166	6353	31688
167	6392	31656
168	6434	31637
169	6480	31639
170	6523	31626
171	6566	31612
172	6606	31583
173	6647	31554
174	6687	31526
175	6724	31481
176	6758	31425
177	6794	31375
178	6828	31319
179	6865	31275
180	6900	31221
181	6934	31165
182	6969	31114
183	7006	31074
184	7042	31025
185	7080	30987
186	7116	30939
187	7155	30906
188	7196	30879
189	7236	30850
190	7278	30827
191	7320	30806
192	7361	30781
193	7402	30755
194	7441	30719
195	7480	30685
196	7518	30648
197	7558	30614
198	7597	30581
199	7638	30553
200	7679	30527
201	7719	30494
202	7759	30464
203	7797	30426
204	7835	30387
205	7876	30357
206	7914	30320
207	7955	30291
208	7998	30271
209	8040	30247
210	8079	30212
211	8121	30185
212	8158	30143
213	8194	30099
214	8236	30072
215	8276	30039
216	8315	30006
217	8351	29958
218	8386	29906
219	8423	29866
220	8464	29834
221	8505	29807
222	8547	29783
223	8584	29739
224	8624	29705
225	8666	29681
226	8703	29638
227	8739	29591
228	8774	29543
229	8813	29507
230	8855	29479
231	8895	29446
232	8933	29407
233	8971	29369
234	9007	29323
235	9046	29284
236	9082	29239
237	9117	29189
238	9152	29141
239	9190	29102
240	9230	29069
241	9269	29035
242	9310	29004
243	9349	28968
244	9390	28936
245	9428	28899
246	9468	28866
247	9507	28830
248	9549	28800
249	9589	28767
250	9628	28732
251	9668	28698
252	9707	28662
253	9747	28628
254	9788	28596
255	9829	28568
256	9869	28533
257	9904	28486
258	9944	28451
259	9988	28427
260	10031	28403
261	10075	28381
262	10116	28350
263	10155	28311
264	10195	28277
265	10232	28235
266	10266	28185
267	10302	28140
268	10337	28091
269	10373	28046
270	10412	28008
271	10449	27967
272	10486	27926
273	10530	27900
274	10571	27870
275	10609	27830
276	10650	27799
277	10692	27769
278	10730	27730
279	10769	27693
280	10805	27648
281	10844	27611
282	10880	27565
283	10915	27519
284	10954	27481
285	10991	27440
286	11028	27399
287	11064	27355
288	11106	27324
289	11145	27287
290	11190	27264
291	11232	27235
292	11273	27201
293	11311	27163
294	11348	27121
295	11387	27083
296	11426	27047
297	11466	27010
298	11501	26964
299	11536	26918
300	11571	26871
301	11609	26832
302	11644	26786
303	11680	26741
304	11715	26696
305	11751	26652
306	11790	26615
307	11827	26574
308	11861	26526
309	11895	26477
310	11931	26433
311	11967	26389
312	12002	26345
313	12038	26300
314	12072	26252
315	12107	26207
316	12142	26161
317	12176	26114
318	12213	26073
319	12249	26029
320	12284	25985
321	12320	25940
322	12353	25893
323	12388	25846
324	12422	25801
325	12460	25761
326	12494	25714
327	12528	25669
328	12564	25625
329	12598	25579
330	12636	25539
331	12672	25497
332	12706	25451
333	12740	25404
334	12773	25357
335	12808	25312
336	12844	25269
337	12881	25230
338	12918	25188
339	12954	25147
340	12991	25106
341	13026	25063
342	13063	25022
343	13098	24979
344	13133	24934
345	13168	24890
346	13203	24847
347	13241	24808
348	13276	24765
349	13311	24720
350	13345	24675
351	13379	24631
352	13413	24585
353	13450	24544
354	13486	24503
355	13521	24460
356	13555	24415
357	13589	24370
358	13623	24325
359	13660	24284
360	13695	24241
361	13728	24196
362	13763	24153
363	13797	24108
364	13832	24063
365	13870	24026
366	13905	23984
367	13942	23944
368	13976	23900
369	14011	23857
370	14048	23817
371	14085	23778
372	14120	23736
373	14154	23691
374	14188	23646
375	14221	23602
376	14257	23561
377	14292	23519
378	14327	23475
379	14361	23431
380	14396	23390
381	14431	23347
382	14468	23308
383	14503	23265
384	14537	23221
385	14572	23179
386	14607	23138
387	14643	23098
388	14680	23057
389	14715	23016
390	14748	22972
391	14783	22929
392	14816	22885
393	14853	22845
394	14889	22806
395	14924	22764
396	14960	22722
397	14994	22679
398	15035	22647
399	15073	22609
400	15113	22575
401	15154	22543
402	15191	22504
403	15226	22462
404	15263	22423
405	15299	22384
406	15337	22346
407	15371	22303
408	15407	22264
409	15446	22227
410	15484	22190
411	15518	22147
412	15553	22106
413	15588	22065
414	15627	22028
415	15663	21989
416	15699	21948
417	15735	21908
418	15769	21866
419	15809	21831
420	15849	21797
421	15886	21759
422	15922	21719
423	15956	21676
424	15989	21633
425	16025	21593
426	16060	21551
427	16093	21508
428	16128	21467
429	16162	21425
430	16197	21383
431	16234	21344
432	16269	21304
433	16307	21266
434	16343	21227
435	16376	21184
436	16416	21149
437	16455	21113
438	16494	21077
439	16530	21038
440	16566	20999
441	16605	20963
442	16640	20922
443	16675	20881
444	16709	20840
445	16746	20801
446	16784	20764
447	16822	20727
448	16865	20696
449	16912	20671
450	16954	20638
451	16997	20607
452	17038	20574
453	17080	20541
454	17116	20502
455	17153	20463
456	17188	20423
457	17223	20382
458	17260	20343
459	17296	20304
460	17332	20264
461	17374	20232
462	17412	20195
463	17450	20157
464	17486	20119
465	17522	20079
466	17556	20038
467	17594	20000
468	17629	19960
469	17663	19918
470	17697	19876
471	17732	19836
472	17767	19795
473	17803	19756
474	17838	19715
475	17874	19676
476	17908	19635
477	17943	19595
478	17978	19554
479	18014	19515
480	18049	19475
481	18083	19434
482	18117	19393
483	18151	19352
484	18188	19313
485	18225	19275
486	18260	19234
487	18293	19193
488	18327	19152
489	18361	19110
490	18396	19071
491	18433	19032
492	18469	18994
493	18506	18955
494	18542	18916
495	18578	18878
496	18614	18839
497	18649	18799
498	18684	18759
499	18718	18718
500	18752	18677
501	18789	18639
502	18824	18600
503	18861	18561
504	18895	18521
505	18929	18480
506	18964	18440
507	18999	18400
508	19034	18361
509	19068	18320
510	19104	18281
511	19138	18241
512	19172	18200
513	19209	18162
514	19245	18124
515	19281	18085
516	19315	18045
517	19350	18006
518	19387	17968
519	19423	17929
520	19457	17889
521	19491	17848
522	19526	17808
523	19560	17768
524	19599	17733
525	19634	17693
526	19672	17656
527	19710	17619
528	19744	17579
529	19781	17541
530	19815	17502
531	19852	17464
532	19889	17426
533	19923	17386
534	19960	17349
535	19996	17310
536	20030	17270
537	20065	17230
538	20100	17191
539	20134	17152
540	20172	17114
541	20207	17075
542	20241	17035
543	20275	16995
544	20310	16956
545	20344	16916
546	20379	16877
547	20414	16838
548	20448	16798
549	20484	16759
550	20518	16719
551	20551	16679
552	20586	16640
553	20622	16602
554	20656	16562
555	20690	16522
556	20725	16483
557	20759	16444
558	20795	16406
559	20833	16368
560	20867	16329
561	20902	16290
562	20936	16250
563	20970	16211
564	21006	16172
565	21042	16134
566	21077	16096
567	21111	16056
568	21145	16017
569	21180	15978
570	21216	15940
571	21255	15904
572	21296	15869
573	21335	15834
574	21369	15795
575	21405	15756
576	21442	15719
577	21477	15680
578	21511	15641
579	21546	15602
580	21579	15562
581	21614	15523
582	21650	15485
583	21685	15446
584	21719	15408
585	21757	15371
586	21794	15333
587	21832	15297
588	21872	15262
589	21912	15227
590	21948	15189
591	21991	15156
592	22030	15120
593	22070	15084
594	22106	15047
595	22144	15010
596	22183	14974
597	22223	14939
598	22262	14903
599	22301	14867
600	22337	14829
601	22377	14794
602	22417	14758
603	22457	14723
604	22495	14687
605	22537	14653
606	22580	14619
607	22621	14584
608	22665	14551
609	22704	14516
610	22748	14482
611	22791	14449
612	22833	14415
613	22876	14381
614	22914	14344
615	22953	14308
616	22989	14270
617	23027	14233
618	23066	14197
619	23103	14160
620	23138	14121
621	23173	14082
622	23208	14044
623	23246	14007
624	23281	13969
625	23316	13930
626	23350	13891
627	23384	13852
628	23420	13813
629	23456	13776
630	23496	13740
631	23538	13705
632	23576	13669
633	23614	13632
634	23653	13596
635	23691	13559
636	23732	13524
637	23770	13487
638	23806	13449
639	23848	13414
640	23887	13378
641	23928	13343
642	23970	13308
643	24016	13276
644	24056	13240
645	24097	13205
646	24142	13172
647	24186	13138
648	24232	13105
649	24275	13071
650	24319	13037
651	24361	13002
652	24401	12967
653	24445	12932
654	24488	12898
655	24528	12862
656	24574	12829
657	24619	12796
658	24668	12764
659	24713	12731
660	24757	12697
661	24804	12664
662	24856	12634
663	24908	12604
664	24952	12570
665	24998	12536
666	25045	12503
667	25093	12471
668	25140	12438
669	25183	12404
670	25227	12369
671	25273	12335
672	25320	12302
673	25366	12269
674	25410	12234
675	25459	12202
676	25502	12167
677	25546	12132
678	25589	12097
679	25637	12064
680	25686	12032
681	25732	11998
682	25781	11965
683	25831	11933
684	25878	11900
685	25931	11869
686	25973	11833
687	26023	11801
688	26064	11765
689	26107	11729
690	26157	11697
691	26209	11665
692	26253	11630
693	26301	11597
694	26346	11562
695	26388	11526
696	26432	11490
697	26477	11455
698	26521	11420
699	26564	11384
700	26604	11347
701	26647	11311
702	26689	11275
703	26730	11239
704	26772	11202
705	26812	11165
706	26851	11127
707	26889	11089
708	26926	11051
709	26962	11013
710	27000	10974
711	27038	10936
712	27077	10899
713	27115	10861
714	27151	10822
715	27190	10785
716	27229	10747
717	27269	10710
718	27306	10671
719	27342	10633
720	27379	10594
721	27417	10556
722	27457	10519
723	27494	10481
724	27532	10443
725	27569	10405
726	27606	10366
727	27645	10329
728	27683	10291
729	27721	10253
730	27760	10215
731	27797	10177
732	27836	10139
733	27873	10101
734	27911	10063
735	27949	10025
736	27986	9987
737	28026	9949
738	28064	9911
739	28101	9873
740	28139	9835
741	28177	9797
742	28221	9761
743	28262	9724
744	28303	9687
745	28343	9650
746	28382	9612
747	28421	9575
748	28459	9537
749	28496	9498
750	28536	9461
751	28578	9424
752	28620	9388
753	28659	9350
754	28697	9312
755	28735	9274
756	28773	9236
757	28813	9198
758	28853	9161
759	28890	9123
760	28926	9084
761	28965	9046
762	29004	9009
763	29042	8971
764	29080	8933
765	29118	8895
766	29155	8856
767	29194	8819
768	29236	8782
769	29274	8744
770	29310	8705
771	29347	8667
772	29386	8629
773	29423	8591
774	29460	8553
775	29498	8514
776	29536	8476
777	29577	8439
778	29614	8401
779	29652	8363
780	29688	8325
781	29726	8286
782	29769	8250
783	29806	8212
784	29843	8173
785	29880	8135
786	29917	8097
787	29957	8059
788	29993	8021
789	30031	7983
790	30068	7944
791	30103	7906
792	30144	7868
793	30181	7830
794	30218	7792
795	30254	7753
796	30291	7715
797	30330	7677
798	30368	7639
799	30405	7601
800	30443	7563
801	30480	7525
802	30520	7487
803	30556	7449
804	30593	7410
805	30630	7372
806	30667	7334
807	30708	7297
808	30750	7260
809	30787	7221
810	30824	7183
811	30864	7146
812	30903	7108
813	30940	7069
814	30977	7031
815	31014	6993
816	31053	6955
817	31093	6918
818	31132	6880
819	31169	6842
820	31207	6804
821	31245	6766
822	31285	6728
823	31323	6690
824	31360	6652
825	31397	6613
826	31434	6575
827	31474	6538
828	31514	6500
829	31551	6462
830	31589	6424
831	31627	6386
832	31668	6348
833	31705	6310
834	31743	6272
835	31780	6234
836	31817	6196
837	31855	6158
838	31893	6120
839	31930	6082
840	31968	6044
841	32005	6005
842	32044	5967
843	32080	5929
844	32119	5891
845	32155	5853
846	32192	5815
847	32230	5777
848	32267	5739
849	32305	5700
850	32343	5663
851	32380	5624
852	32420	5587
853	32458	5549
854	32494	5510
855	32531	5472
856	32568	5434
857	32606	5396
858	32646	5358
859	32688	5321
860	32729	5283
861	32773	5246
862	32812	5208
863	32848	5170
864	32885	5132
865	32923	5094
866	32960	5056
867	33000	5018
868	33038	4980
869	33075	4942
870	33115	4904
871	33153	4866
872	33192	4828
873	33229	4790
874	33266	4752
875	33304	4714
876	33341	4676
877	33380	4638
878	33418	4600
879	33456	4562
880	33492	4523
881	33529	4485
882	33569	4448
883	33606	4409
884	33643	4371
885	33682	4333
886	33720	4295
887	33760	4258
888	33802	4220
889	33841	4182
890	33880	4144
891	33918	4106
892	33959	4069
893	33998	4031
894	34035	3993
895	34074	3955
896	34113	3917
897	34153	3879
898	34190	3841
899	34229	3803
900	34266	3765
901	34302	3726
902	34342	3689
903	34378	3650
904	34415	3612
905	34455	3574
906	34494	3536
907	34540	3499
908	34579	3461
909	34617	3423
910	34655	3385
911	34694	3347
912	34733	3309
913	34771	3271
914	34807	3233
915	34844	3195
916	34882	3157
917	34922	3119
918	34960	3081
919	34997	3043
920	35034	3005
921	35074	2967
922	35117	2929
923	35156	2891
924	35194	2853
925	35231	2815
926	35267	2777
927	35307	2739
928	35345	2701
929	35381	2663
930	35418	2625
931	35456	2586
932	35495	2549
933	35532	2510
934	35569	2472
935	35605	2434
936	35643	2396
937	35684	2358
938	35722	2320
939	35760	2282
940	35797	2244
941	35835	2206
942	35873	2168
943	35911	2130
944	35948	2092
945	35985	2054
946	36023	2016
947	36064	1978
